respondent_id,h1n1_vaccine,seasonal_vaccine
32846,0.24,0.33
32847,0.17,0.41
32848,0.15,0.30
32849,0.08,0.07
32850,0.12,0.39
32851,0.42,0.22
32852,0.46,0.77
32853,0.26,0.19
32854,0.32,0.72
32855,0.15,0.35
32856,0.13,0.85
32857,0.16,0.38
32858,0.17,0.13
32859,0.06,0.33
32860,0.40,0.85
32861,0.56,0.68
32862,0.29,0.52
32863,0.09,0.14
32864,0.17,0.13
32865,0.15,0.40
32866,0.04,0.07
32867,0.63,0.46
32868,0.68,0.69
32869,0.07,0.14
32870,0.38,0.59
32871,0.13,0.19
32872,0.19,0.50
32873,0.41,0.61
32874,0.04,0.27
32875,0.13,0.16
32876,0.71,0.84
32877,0.06,0.14
32878,0.12,0.22
32879,0.03,0.07
32880,0.38,0.80
32881,0.26,0.38
32882,0.24,0.36
32883,0.18,0.82
32884,0.24,0.22
32885,0.51,0.65
32886,0.23,0.17
32887,0.11,0.85
32888,0.14,0.24
32889,0.35,0.43
32890,0.13,0.41
32891,0.64,0.63
32892,0.44,0.53
32893,0.32,0.36
32894,0.28,0.38
32895,0.36,0.73
32896,0.20,0.15
32897,0.22,0.27
32898,0.56,0.67
32899,0.31,0.61
32900,0.39,0.70
32901,0.41,0.84
32902,0.18,0.25
32903,0.34,0.61
32904,0.06,0.08
32905,0.03,0.12
32906,0.59,0.48
32907,0.66,0.71
32908,0.61,0.69
32909,0.49,0.75
32910,0.10,0.57
32911,0.41,0.31
32912,0.16,0.24
32913,0.73,0.78
32914,0.46,0.62
32915,0.20,0.51
32916,0.26,0.58
32917,0.16,0.70
32918,0.25,0.65
32919,0.60,0.46
32920,0.21,0.27
32921,0.50,0.33
32922,0.04,0.07
32923,0.28,0.87
32924,0.58,0.82
32925,0.16,0.29
32926,0.09,0.16
32927,0.05,0.11
32928,0.16,0.19
32929,0.31,0.57
32930,0.13,0.60
32931,0.10,0.12
32932,0.18,0.30
32933,0.20,0.28
32934,0.57,0.44
32935,0.22,0.42
32936,0.26,0.36
32937,0.65,0.76
32938,0.11,0.09
32939,0.02,0.03
32940,0.30,0.42
32941,0.12,0.32
32942,0.17,0.42
32943,0.08,0.20
32944,0.48,0.74
32945,0.37,0.33
32946,0.11,0.34
32947,0.04,0.07
32948,0.27,0.49
32949,0.11,0.11
32950,0.26,0.81
32951,0.56,0.30
32952,0.66,0.64
32953,0.42,0.65
32954,0.22,0.46
32955,0.27,0.71
32956,0.59,0.62
32957,0.07,0.26
32958,0.30,0.60
32959,0.07,0.13
32960,0.43,0.85
32961,0.30,0.52
32962,0.08,0.08
32963,0.15,0.55
32964,0.11,0.31
32965,0.25,0.33
32966,0.12,0.94
32967,0.07,0.46
32968,0.14,0.43
32969,0.69,0.34
32970,0.09,0.51
32971,0.05,0.13
32972,0.19,0.40
32973,0.75,0.86
32974,0.20,0.10
32975,0.54,0.64
32976,0.15,0.36
32977,0.21,0.23
32978,0.13,0.62
32979,0.08,0.81
32980,0.20,0.36
32981,0.02,0.07
32982,0.26,0.69
32983,0.63,0.80
32984,0.43,0.82
32985,0.34,0.61
32986,0.41,0.85
32987,0.37,0.79
32988,0.17,0.23
32989,0.11,0.12
32990,0.88,0.85
32991,0.03,0.06
32992,0.77,0.56
32993,0.08,0.18
32994,0.06,0.52
32995,0.27,0.59
32996,0.45,0.70
32997,0.31,0.29
32998,0.12,0.13
32999,0.09,0.36
33000,0.13,0.17
33001,0.55,0.53
33002,0.37,0.60
33003,0.15,0.85
33004,0.13,0.44
33005,0.26,0.28
33006,0.55,0.61
33007,0.09,0.17
33008,0.06,0.09
33009,0.34,0.19
33010,0.27,0.36
33011,0.09,0.61
33012,0.12,0.18
33013,0.20,0.81
33014,0.15,0.92
33015,0.16,0.23
33016,0.13,0.47
33017,0.87,0.78
33018,0.60,0.77
33019,0.80,0.90
33020,0.29,0.23
33021,0.05,0.09
33022,0.42,0.64
33023,0.11,0.11
33024,0.30,0.71
33025,0.41,0.83
33026,0.74,0.90
33027,0.30,0.90
33028,0.27,0.38
33029,0.52,0.69
33030,0.19,0.44
33031,0.16,0.66
33032,0.42,0.87
33033,0.09,0.50
33034,0.07,0.18
33035,0.02,0.04
33036,0.11,0.83
33037,0.58,0.67
33038,0.50,0.60
33039,0.20,0.32
33040,0.48,0.76
33041,0.16,0.14
33042,0.07,0.13
33043,0.03,0.05
33044,0.21,0.12
33045,0.09,0.05
33046,0.14,0.23
33047,0.42,0.45
33048,0.53,0.86
33049,0.31,0.18
33050,0.40,0.76
33051,0.03,0.06
33052,0.95,0.91
33053,0.13,0.52
33054,0.22,0.26
33055,0.33,0.61
33056,0.26,0.75
33057,0.05,0.13
33058,0.30,0.46
33059,0.21,0.25
33060,0.51,0.78
33061,0.04,0.05
33062,0.16,0.51
33063,0.02,0.09
33064,0.22,0.23
33065,0.75,0.89
33066,0.31,0.21
33067,0.16,0.24
33068,0.10,0.13
33069,0.18,0.19
33070,0.11,0.53
33071,0.74,0.87
33072,0.20,0.88
33073,0.16,0.63
33074,0.15,0.54
33075,0.07,0.15
33076,0.11,0.41
33077,0.44,0.93
33078,0.39,0.84
33079,0.08,0.07
33080,0.38,0.51
33081,0.03,0.25
33082,0.22,0.72
33083,0.83,0.92
33084,0.59,0.47
33085,0.36,0.53
33086,0.14,0.78
33087,0.08,0.09
33088,0.17,0.34
33089,0.13,0.82
33090,0.11,0.13
33091,0.32,0.69
33092,0.18,0.11
33093,0.21,0.21
33094,0.50,0.83
33095,0.41,0.62
33096,0.18,0.30
33097,0.30,0.39
33098,0.38,0.58
33099,0.19,0.30
33100,0.07,0.13
33101,0.06,0.09
33102,0.56,0.89
33103,0.23,0.61
33104,0.15,0.68
33105,0.16,0.21
33106,0.36,0.66
33107,0.10,0.36
33108,0.06,0.07
33109,0.18,0.69
33110,0.04,0.08
33111,0.03,0.12
33112,0.14,0.75
33113,0.36,0.91
33114,0.53,0.70
33115,0.74,0.72
33116,0.42,0.18
33117,0.28,0.76
33118,0.17,0.45
33119,0.48,0.64
33120,0.16,0.10
33121,0.52,0.79
33122,0.59,0.78
33123,0.08,0.23
33124,0.07,0.10
33125,0.58,0.89
33126,0.16,0.34
33127,0.35,0.62
33128,0.10,0.31
33129,0.69,0.72
33130,0.11,0.23
33131,0.19,0.56
33132,0.61,0.69
33133,0.50,0.79
33134,0.21,0.17
33135,0.31,0.57
33136,0.63,0.67
33137,0.12,0.21
33138,0.57,0.70
33139,0.15,0.63
33140,0.04,0.10
33141,0.45,0.35
33142,0.13,0.37
33143,0.19,0.32
33144,0.50,0.38
33145,0.12,0.92
33146,0.14,0.22
33147,0.05,0.06
33148,0.62,0.77
33149,0.84,0.44
33150,0.10,0.67
33151,0.11,0.29
33152,0.35,0.88
33153,0.39,0.33
33154,0.08,0.96
33155,0.12,0.31
33156,0.20,0.21
33157,0.17,0.85
33158,0.10,0.18
33159,0.14,0.32
33160,0.40,0.48
33161,0.10,0.07
33162,0.04,0.07
33163,0.04,0.06
33164,0.09,0.63
33165,0.21,0.77
33166,0.08,0.63
33167,0.16,0.16
33168,0.21,0.33
33169,0.14,0.44
33170,0.38,0.92
33171,0.44,0.67
33172,0.54,0.53
33173,0.51,0.68
33174,0.04,0.05
33175,0.06,0.24
33176,0.27,0.56
33177,0.17,0.84
33178,0.23,0.34
33179,0.15,0.13
33180,0.02,0.09
33181,0.40,0.48
33182,0.06,0.14
33183,0.11,0.46
33184,0.09,0.60
33185,0.28,0.63
33186,0.04,0.87
33187,0.27,0.51
33188,0.11,0.86
33189,0.16,0.10
33190,0.07,0.11
33191,0.06,0.08
33192,0.07,0.11
33193,0.31,0.61
33194,0.19,0.90
33195,0.17,0.55
33196,0.18,0.15
33197,0.69,0.83
33198,0.52,0.75
33199,0.28,0.31
33200,0.13,0.46
33201,0.65,0.72
33202,0.09,0.19
33203,0.40,0.40
33204,0.18,0.53
33205,0.07,0.14
33206,0.28,0.75
33207,0.10,0.27
33208,0.52,0.66
33209,0.20,0.24
33210,0.26,0.65
33211,0.10,0.24
33212,0.05,0.17
33213,0.33,0.59
33214,0.05,0.09
33215,0.04,0.06
33216,0.18,0.24
33217,0.38,0.64
33218,0.11,0.78
33219,0.29,0.28
33220,0.21,0.55
33221,0.72,0.57
33222,0.83,0.80
33223,0.58,0.68
33224,0.29,0.63
33225,0.47,0.71
33226,0.08,0.07
33227,0.08,0.06
33228,0.52,0.43
33229,0.11,0.71
33230,0.03,0.11
33231,0.04,0.10
33232,0.37,0.36
33233,0.39,0.31
33234,0.49,0.48
33235,0.13,0.48
33236,0.45,0.81
33237,0.14,0.20
33238,0.05,0.13
33239,0.16,0.37
33240,0.52,0.59
33241,0.38,0.49
33242,0.17,0.66
33243,0.65,0.79
33244,0.67,0.79
33245,0.29,0.52
33246,0.85,0.92
33247,0.13,0.17
33248,0.30,0.69
33249,0.03,0.06
33250,0.33,0.51
33251,0.03,0.12
33252,0.66,0.76
33253,0.81,0.90
33254,0.11,0.72
33255,0.11,0.78
33256,0.37,0.19
33257,0.08,0.14
33258,0.24,0.44
33259,0.22,0.62
33260,0.46,0.35
33261,0.26,0.64
33262,0.64,0.81
33263,0.03,0.07
33264,0.19,0.89
33265,0.25,0.65
33266,0.09,0.12
33267,0.15,0.41
33268,0.49,0.60
33269,0.10,0.89
33270,0.14,0.22
33271,0.54,0.77
33272,0.68,0.87
33273,0.49,0.92
33274,0.03,0.19
33275,0.53,0.91
33276,0.38,0.57
33277,0.08,0.34
33278,0.09,0.18
33279,0.37,0.56
33280,0.49,0.91
33281,0.04,0.08
33282,0.23,0.68
33283,0.35,0.85
33284,0.14,0.23
33285,0.46,0.53
33286,0.07,0.62
33287,0.45,0.86
33288,0.14,0.31
33289,0.25,0.36
33290,0.43,0.76
33291,0.04,0.08
33292,0.17,0.31
33293,0.24,0.33
33294,0.21,0.14
33295,0.33,0.36
33296,0.30,0.74
33297,0.19,0.26
33298,0.08,0.06
33299,0.22,0.32
33300,0.33,0.78
33301,0.14,0.79
33302,0.12,0.42
33303,0.67,0.85
33304,0.60,0.30
33305,0.45,0.36
33306,0.05,0.05
33307,0.10,0.12
33308,0.06,0.35
33309,0.21,0.52
33310,0.09,0.16
33311,0.21,0.51
33312,0.05,0.12
33313,0.14,0.53
33314,0.13,0.26
33315,0.20,0.42
33316,0.14,0.18
33317,0.11,0.50
33318,0.76,0.84
33319,0.29,0.43
33320,0.25,0.33
33321,0.11,0.16
33322,0.23,0.36
33323,0.14,0.25
33324,0.04,0.17
33325,0.26,0.09
33326,0.30,0.38
33327,0.04,0.02
33328,0.22,0.37
33329,0.10,0.21
33330,0.24,0.62
33331,0.33,0.51
33332,0.23,0.26
33333,0.08,0.03
33334,0.06,0.30
33335,0.44,0.65
33336,0.39,0.65
33337,0.30,0.74
33338,0.08,0.17
33339,0.07,0.15
33340,0.23,0.27
33341,0.17,0.18
33342,0.58,0.68
33343,0.20,0.87
33344,0.62,0.60
33345,0.31,0.28
33346,0.18,0.80
33347,0.50,0.60
33348,0.31,0.48
33349,0.18,0.36
33350,0.13,0.32
33351,0.33,0.49
33352,0.10,0.29
33353,0.16,0.26
33354,0.51,0.76
33355,0.78,0.87
33356,0.17,0.40
33357,0.83,0.78
33358,0.46,0.70
33359,0.19,0.86
33360,0.15,0.13
33361,0.43,0.42
33362,0.05,0.10
33363,0.09,0.80
33364,0.14,0.50
33365,0.81,0.87
33366,0.34,0.71
33367,0.18,0.75
33368,0.19,0.31
33369,0.21,0.70
33370,0.16,0.52
33371,0.76,0.74
33372,0.18,0.69
33373,0.20,0.36
33374,0.08,0.14
33375,0.04,0.10
33376,0.09,0.28
33377,0.24,0.66
33378,0.21,0.27
33379,0.48,0.73
33380,0.42,0.65
33381,0.42,0.53
33382,0.48,0.43
33383,0.08,0.42
33384,0.13,0.50
33385,0.27,0.47
33386,0.15,0.14
33387,0.06,0.20
33388,0.19,0.64
33389,0.20,0.76
33390,0.28,0.92
33391,0.32,0.34
33392,0.75,0.91
33393,0.28,0.59
33394,0.17,0.15
33395,0.20,0.27
33396,0.20,0.14
33397,0.16,0.20
33398,0.40,0.19
33399,0.22,0.47
33400,0.29,0.72
33401,0.06,0.15
33402,0.68,0.78
33403,0.09,0.26
33404,0.01,0.04
33405,0.36,0.57
33406,0.49,0.65
33407,0.59,0.59
33408,0.14,0.18
33409,0.19,0.29
33410,0.10,0.30
33411,0.19,0.09
33412,0.67,0.79
33413,0.26,0.40
33414,0.39,0.74
33415,0.37,0.56
33416,0.05,0.12
33417,0.42,0.54
33418,0.04,0.09
33419,0.71,0.84
33420,0.35,0.51
33421,0.10,0.90
33422,0.16,0.92
33423,0.04,0.11
33424,0.08,0.24
33425,0.17,0.07
33426,0.22,0.21
33427,0.16,0.48
33428,0.07,0.14
33429,0.21,0.70
33430,0.49,0.49
33431,0.42,0.73
33432,0.22,0.49
33433,0.82,0.96
33434,0.16,0.75
33435,0.54,0.70
33436,0.27,0.37
33437,0.10,0.58
33438,0.14,0.33
33439,0.13,0.24
33440,0.15,0.44
33441,0.11,0.81
33442,0.17,0.79
33443,0.20,0.25
33444,0.12,0.56
33445,0.07,0.25
33446,0.60,0.80
33447,0.17,0.64
33448,0.15,0.78
33449,0.10,0.15
33450,0.12,0.33
33451,0.18,0.34
33452,0.18,0.80
33453,0.37,0.42
33454,0.69,0.87
33455,0.20,0.93
33456,0.15,0.44
33457,0.23,0.62
33458,0.45,0.56
33459,0.20,0.50
33460,0.05,0.21
33461,0.24,0.88
33462,0.28,0.46
33463,0.07,0.22
33464,0.13,0.49
33465,0.24,0.66
33466,0.31,0.44
33467,0.47,0.74
33468,0.27,0.56
33469,0.15,0.85
33470,0.05,0.06
33471,0.02,0.09
33472,0.46,0.69
33473,0.42,0.73
33474,0.11,0.41
33475,0.08,0.19
33476,0.12,0.28
33477,0.43,0.34
33478,0.29,0.56
33479,0.40,0.71
33480,0.06,0.10
33481,0.46,0.95
33482,0.08,0.19
33483,0.04,0.16
33484,0.07,0.11
33485,0.11,0.19
33486,0.31,0.61
33487,0.10,0.20
33488,0.42,0.79
33489,0.24,0.33
33490,0.57,0.69
33491,0.13,0.49
33492,0.15,0.45
33493,0.26,0.61
33494,0.71,0.87
33495,0.17,0.25
33496,0.15,0.64
33497,0.16,0.48
33498,0.11,0.27
33499,0.12,0.70
33500,0.15,0.31
33501,0.05,0.05
33502,0.06,0.17
33503,0.24,0.26
33504,0.02,0.07
33505,0.40,0.43
33506,0.13,0.20
33507,0.25,0.41
33508,0.23,0.53
33509,0.27,0.26
33510,0.51,0.62
33511,0.84,0.83
33512,0.42,0.90
33513,0.13,0.55
33514,0.33,0.81
33515,0.30,0.80
33516,0.10,0.31
33517,0.15,0.80
33518,0.12,0.57
33519,0.34,0.37
33520,0.11,0.57
33521,0.21,0.20
33522,0.10,0.15
33523,0.20,0.14
33524,0.14,0.27
33525,0.06,0.15
33526,0.25,0.65
33527,0.66,0.83
33528,0.13,0.64
33529,0.29,0.48
33530,0.22,0.41
33531,0.18,0.19
33532,0.09,0.12
33533,0.06,0.12
33534,0.05,0.08
33535,0.10,0.28
33536,0.19,0.86
33537,0.85,0.52
33538,0.21,0.23
33539,0.08,0.21
33540,0.06,0.24
33541,0.14,0.34
33542,0.11,0.20
33543,0.17,0.31
33544,0.09,0.15
33545,0.27,0.48
33546,0.24,0.86
33547,0.10,0.46
33548,0.26,0.28
33549,0.02,0.07
33550,0.09,0.69
33551,0.08,0.74
33552,0.23,0.61
33553,0.07,0.19
33554,0.14,0.45
33555,0.33,0.55
33556,0.12,0.68
33557,0.45,0.79
33558,0.12,0.23
33559,0.23,0.60
33560,0.10,0.48
33561,0.17,0.24
33562,0.17,0.62
33563,0.08,0.19
33564,0.20,0.68
33565,0.15,0.24
33566,0.74,0.74
33567,0.08,0.18
33568,0.25,0.18
33569,0.16,0.33
33570,0.61,0.80
33571,0.22,0.41
33572,0.15,0.43
33573,0.05,0.04
33574,0.25,0.28
33575,0.44,0.55
33576,0.42,0.76
33577,0.33,0.29
33578,0.19,0.28
33579,0.18,0.45
33580,0.15,0.46
33581,0.20,0.69
33582,0.52,0.71
33583,0.44,0.48
33584,0.81,0.75
33585,0.52,0.68
33586,0.11,0.15
33587,0.10,0.35
33588,0.01,0.06
33589,0.13,0.29
33590,0.15,0.31
33591,0.29,0.33
33592,0.07,0.12
33593,0.39,0.38
33594,0.24,0.29
33595,0.20,0.45
33596,0.09,0.68
33597,0.47,0.64
33598,0.69,0.81
33599,0.06,0.77
33600,0.02,0.14
33601,0.44,0.49
33602,0.36,0.55
33603,0.22,0.63
33604,0.57,0.78
33605,0.23,0.18
33606,0.47,0.70
33607,0.68,0.80
33608,0.22,0.40
33609,0.17,0.71
33610,0.30,0.79
33611,0.46,0.31
33612,0.37,0.73
33613,0.46,0.54
33614,0.58,0.38
33615,0.19,0.33
33616,0.48,0.69
33617,0.07,0.10
33618,0.41,0.75
33619,0.25,0.64
33620,0.06,0.07
33621,0.16,0.61
33622,0.68,0.87
33623,0.08,0.49
33624,0.08,0.19
33625,0.10,0.47
33626,0.39,0.45
33627,0.18,0.72
33628,0.17,0.85
33629,0.33,0.35
33630,0.17,0.82
33631,0.24,0.54
33632,0.13,0.16
33633,0.09,0.11
33634,0.43,0.23
33635,0.26,0.40
33636,0.14,0.78
33637,0.51,0.73
33638,0.08,0.49
33639,0.36,0.90
33640,0.47,0.62
33641,0.38,0.17
33642,0.16,0.20
33643,0.13,0.15
33644,0.47,0.68
33645,0.29,0.81
33646,0.02,0.18
33647,0.44,0.36
33648,0.52,0.94
33649,0.16,0.20
33650,0.42,0.29
33651,0.17,0.64
33652,0.09,0.17
33653,0.04,0.10
33654,0.41,0.65
33655,0.27,0.33
33656,0.15,0.12
33657,0.09,0.15
33658,0.70,0.84
33659,0.30,0.33
33660,0.28,0.70
33661,0.39,0.79
33662,0.62,0.70
33663,0.29,0.21
33664,0.12,0.19
33665,0.45,0.82
33666,0.17,0.54
33667,0.11,0.72
33668,0.61,0.79
33669,0.37,0.46
33670,0.12,0.43
33671,0.12,0.91
33672,0.48,0.70
33673,0.25,0.19
33674,0.08,0.36
33675,0.22,0.87
33676,0.49,0.50
33677,0.12,0.32
33678,0.15,0.22
33679,0.09,0.28
33680,0.21,0.87
33681,0.36,0.68
33682,0.09,0.13
33683,0.06,0.07
33684,0.36,0.74
33685,0.24,0.54
33686,0.11,0.28
33687,0.48,0.81
33688,0.13,0.59
33689,0.24,0.66
33690,0.42,0.41
33691,0.16,0.23
33692,0.16,0.21
33693,0.38,0.54
33694,0.47,0.78
33695,0.30,0.47
33696,0.61,0.79
33697,0.20,0.80
33698,0.28,0.55
33699,0.43,0.63
33700,0.19,0.59
33701,0.03,0.08
33702,0.21,0.80
33703,0.25,0.32
33704,0.05,0.24
33705,0.14,0.44
33706,0.40,0.62
33707,0.09,0.10
33708,0.33,0.29
33709,0.12,0.25
33710,0.43,0.38
33711,0.18,0.56
33712,0.08,0.56
33713,0.19,0.50
33714,0.28,0.45
33715,0.28,0.90
33716,0.62,0.64
33717,0.17,0.45
33718,0.08,0.07
33719,0.17,0.20
33720,0.04,0.07
33721,0.17,0.39
33722,0.14,0.66
33723,0.79,0.89
33724,0.10,0.92
33725,0.17,0.74
33726,0.27,0.14
33727,0.18,0.15
33728,0.17,0.82
33729,0.27,0.21
33730,0.08,0.15
33731,0.13,0.47
33732,0.08,0.23
33733,0.05,0.18
33734,0.49,0.65
33735,0.15,0.19
33736,0.11,0.15
33737,0.27,0.62
33738,0.66,0.61
33739,0.11,0.15
33740,0.22,0.86
33741,0.40,0.50
33742,0.33,0.60
33743,0.07,0.87
33744,0.32,0.16
33745,0.26,0.59
33746,0.18,0.68
33747,0.21,0.27
33748,0.26,0.89
33749,0.87,0.94
33750,0.54,0.69
33751,0.69,0.79
33752,0.56,0.46
33753,0.14,0.46
33754,0.59,0.77
33755,0.23,0.47
33756,0.19,0.27
33757,0.57,0.38
33758,0.59,0.78
33759,0.05,0.14
33760,0.11,0.36
33761,0.27,0.51
33762,0.33,0.28
33763,0.51,0.67
33764,0.26,0.26
33765,0.24,0.82
33766,0.03,0.12
33767,0.28,0.39
33768,0.50,0.32
33769,0.19,0.35
33770,0.42,0.37
33771,0.29,0.28
33772,0.12,0.23
33773,0.24,0.79
33774,0.03,0.13
33775,0.12,0.14
33776,0.44,0.62
33777,0.20,0.32
33778,0.09,0.42
33779,0.12,0.71
33780,0.18,0.44
33781,0.03,0.03
33782,0.06,0.19
33783,0.19,0.75
33784,0.07,0.14
33785,0.26,0.22
33786,0.16,0.58
33787,0.13,0.37
33788,0.25,0.66
33789,0.07,0.23
33790,0.05,0.12
33791,0.08,0.23
33792,0.03,0.06
33793,0.42,0.69
33794,0.12,0.17
33795,0.43,0.71
33796,0.55,0.64
33797,0.38,0.62
33798,0.08,0.89
33799,0.28,0.76
33800,0.15,0.39
33801,0.13,0.67
33802,0.22,0.14
33803,0.31,0.83
33804,0.17,0.41
33805,0.85,0.80
33806,0.06,0.11
33807,0.26,0.82
33808,0.07,0.33
33809,0.06,0.13
33810,0.53,0.39
33811,0.15,0.16
33812,0.04,0.08
33813,0.45,0.41
33814,0.07,0.16
33815,0.39,0.88
33816,0.37,0.62
33817,0.25,0.20
33818,0.73,0.81
33819,0.61,0.74
33820,0.07,0.15
33821,0.64,0.86
33822,0.23,0.66
33823,0.04,0.05
33824,0.61,0.19
33825,0.25,0.60
33826,0.24,0.57
33827,0.30,0.42
33828,0.62,0.67
33829,0.63,0.70
33830,0.52,0.58
33831,0.53,0.84
33832,0.50,0.65
33833,0.13,0.61
33834,0.03,0.06
33835,0.04,0.17
33836,0.10,0.28
33837,0.31,0.37
33838,0.04,0.14
33839,0.14,0.19
33840,0.07,0.09
33841,0.84,0.76
33842,0.12,0.16
33843,0.10,0.18
33844,0.18,0.38
33845,0.84,0.86
33846,0.05,0.08
33847,0.25,0.35
33848,0.11,0.33
33849,0.22,0.13
33850,0.04,0.11
33851,0.10,0.57
33852,0.68,0.80
33853,0.13,0.71
33854,0.03,0.11
33855,0.62,0.93
33856,0.04,0.27
33857,0.11,0.72
33858,0.39,0.64
33859,0.20,0.42
33860,0.16,0.13
33861,0.34,0.43
33862,0.21,0.71
33863,0.20,0.25
33864,0.25,0.90
33865,0.08,0.06
33866,0.49,0.68
33867,0.26,0.38
33868,0.14,0.55
33869,0.03,0.03
33870,0.12,0.24
33871,0.14,0.80
33872,0.41,0.65
33873,0.05,0.08
33874,0.21,0.22
33875,0.96,0.93
33876,0.03,0.03
33877,0.64,0.72
33878,0.85,0.86
33879,0.11,0.12
33880,0.15,0.14
33881,0.05,0.14
33882,0.48,0.72
33883,0.28,0.40
33884,0.23,0.24
33885,0.14,0.65
33886,0.34,0.55
33887,0.27,0.26
33888,0.36,0.62
33889,0.30,0.73
33890,0.12,0.31
33891,0.39,0.90
33892,0.57,0.82
33893,0.20,0.13
33894,0.84,0.91
33895,0.19,0.25
33896,0.62,0.93
33897,0.11,0.24
33898,0.05,0.34
33899,0.19,0.27
33900,0.13,0.14
33901,0.07,0.22
33902,0.37,0.88
33903,0.11,0.16
33904,0.32,0.86
33905,0.15,0.35
33906,0.60,0.64
33907,0.19,0.64
33908,0.09,0.09
33909,0.10,0.80
33910,0.49,0.62
33911,0.22,0.46
33912,0.06,0.03
33913,0.41,0.65
33914,0.24,0.16
33915,0.65,0.80
33916,0.67,0.55
33917,0.07,0.27
33918,0.25,0.30
33919,0.05,0.15
33920,0.54,0.69
33921,0.27,0.55
33922,0.41,0.70
33923,0.50,0.75
33924,0.16,0.44
33925,0.05,0.24
33926,0.10,0.62
33927,0.81,0.66
33928,0.04,0.05
33929,0.12,0.18
33930,0.42,0.65
33931,0.12,0.71
33932,0.31,0.16
33933,0.58,0.73
33934,0.57,0.85
33935,0.13,0.40
33936,0.10,0.70
33937,0.26,0.49
33938,0.91,0.92
33939,0.83,0.88
33940,0.07,0.08
33941,0.17,0.14
33942,0.04,0.11
33943,0.20,0.56
33944,0.07,0.27
33945,0.21,0.82
33946,0.11,0.78
33947,0.51,0.70
33948,0.10,0.19
33949,0.67,0.84
33950,0.07,0.07
33951,0.23,0.56
33952,0.02,0.06
33953,0.13,0.52
33954,0.93,0.96
33955,0.71,0.68
33956,0.12,0.18
33957,0.05,0.25
33958,0.09,0.12
33959,0.31,0.66
33960,0.11,0.15
33961,0.05,0.06
33962,0.41,0.81
33963,0.02,0.07
33964,0.08,0.50
33965,0.84,0.77
33966,0.59,0.66
33967,0.24,0.49
33968,0.71,0.79
33969,0.19,0.65
33970,0.17,0.53
33971,0.20,0.40
33972,0.17,0.65
33973,0.10,0.05
33974,0.05,0.12
33975,0.12,0.15
33976,0.19,0.22
33977,0.22,0.32
33978,0.39,0.18
33979,0.10,0.34
33980,0.03,0.04
33981,0.41,0.80
33982,0.22,0.59
33983,0.59,0.64
33984,0.13,0.10
33985,0.10,0.19
33986,0.05,0.19
33987,0.14,0.52
33988,0.41,0.56
33989,0.11,0.10
33990,0.27,0.86
33991,0.02,0.07
33992,0.09,0.20
33993,0.06,0.10
33994,0.04,0.09
33995,0.54,0.48
33996,0.25,0.88
33997,0.26,0.85
33998,0.28,0.49
33999,0.42,0.60
34000,0.27,0.91
34001,0.58,0.64
34002,0.55,0.84
34003,0.20,0.31
34004,0.95,0.95
34005,0.21,0.33
34006,0.12,0.17
34007,0.35,0.38
34008,0.75,0.88
34009,0.08,0.41
34010,0.14,0.15
34011,0.60,0.84
34012,0.45,0.42
34013,0.06,0.09
34014,0.64,0.92
34015,0.06,0.19
34016,0.12,0.13
34017,0.08,0.47
34018,0.42,0.38
34019,0.63,0.57
34020,0.20,0.66
34021,0.14,0.18
34022,0.56,0.86
34023,0.77,0.96
34024,0.05,0.14
34025,0.11,0.26
34026,0.14,0.68
34027,0.31,0.24
34028,0.19,0.38
34029,0.15,0.91
34030,0.09,0.62
34031,0.05,0.71
34032,0.41,0.77
34033,0.70,0.83
34034,0.20,0.46
34035,0.28,0.87
34036,0.49,0.75
34037,0.33,0.64
34038,0.06,0.13
34039,0.22,0.74
34040,0.26,0.49
34041,0.17,0.57
34042,0.56,0.92
34043,0.84,0.92
34044,0.20,0.34
34045,0.07,0.09
34046,0.05,0.10
34047,0.61,0.71
34048,0.29,0.52
34049,0.17,0.13
34050,0.28,0.31
34051,0.19,0.15
34052,0.15,0.28
34053,0.30,0.39
34054,0.36,0.30
34055,0.10,0.14
34056,0.23,0.92
34057,0.42,0.58
34058,0.15,0.22
34059,0.61,0.77
34060,0.26,0.67
34061,0.48,0.65
34062,0.19,0.75
34063,0.53,0.49
34064,0.48,0.75
34065,0.10,0.27
34066,0.11,0.43
34067,0.78,0.59
34068,0.06,0.07
34069,0.10,0.23
34070,0.26,0.21
34071,0.40,0.85
34072,0.48,0.42
34073,0.59,0.33
34074,0.15,0.91
34075,0.20,0.66
34076,0.10,0.11
34077,0.91,0.96
34078,0.04,0.04
34079,0.31,0.56
34080,0.15,0.17
34081,0.48,0.74
34082,0.27,0.25
34083,0.16,0.55
34084,0.09,0.39
34085,0.14,0.85
34086,0.22,0.25
34087,0.56,0.75
34088,0.13,0.11
34089,0.19,0.50
34090,0.27,0.25
34091,0.14,0.60
34092,0.34,0.32
34093,0.14,0.48
34094,0.39,0.57
34095,0.20,0.14
34096,0.19,0.14
34097,0.20,0.91
34098,0.09,0.11
34099,0.22,0.19
34100,0.43,0.45
34101,0.09,0.12
34102,0.08,0.17
34103,0.05,0.10
34104,0.11,0.13
34105,0.04,0.76
34106,0.99,0.50
34107,0.36,0.65
34108,0.16,0.20
34109,0.13,0.21
34110,0.11,0.11
34111,0.04,0.06
34112,0.39,0.33
34113,0.71,0.52
34114,0.03,0.07
34115,0.16,0.32
